item_name,qty,order_datetime
  Salmon  ,1,invalid_date
Unknown Item 5,1,2024-01-01 20:04:00
Unknown Item 8,1,2024-01-02 03:15:00
Apple Pie,3,invalid_date
Caesar Salad,1,2024-01-02 02:37:00
Chicken Burger,1,2024-01-02 02:39:00
Unknown Item 18,1,2024-01-01 20:42:00
Sparkling Water,1,invalid_date
Unknown Item 14,1,2024-01-01 22:16:00
Soup of the Day,3,2024-01-01 21:45:00
Old Menu Item,2,2024-01-01 22:16:00
Sparkling Water,2,2024-01-01 22:42:00
Sparkling Water,1,2024-01-02 02:29:00
Hummus Plate,2,2024-01-01 22:48:00
  Salmon  ,2,2024-01-02 04:00:00
Garlic Mushrooms,1,invalid_date
Coca Cola,2,2024-01-02 07:04:00
Veggie Burger,1,2024-01-02 01:32:00
Seasonal Special,3,2024-01-01 22:59:00
Onion Rings,1,2024-01-01 22:04:00
Sparkling Water,4,2024-01-02 04:23:00
Veggie Burger,1,2024-01-01 22:28:00
Caesar Salad,2,2024-01-02 04:45:00
Daily Special,2,2024-01-01 22:51:00
  Salmon  ,2,2024-01-02 02:00:00
  Salmon  ,-1,2024-01-02 02:35:00
Coca Cola,1,2024-01-01 22:42:00
Unknown Item 3,2,2024-01-01 21:56:00
Mashed Potatoes,1,2024-01-01 21:07:00
Margherita Pizza,1,2024-01-02 04:47:00
  Salmon  ,2,2024-01-02 01:17:00
Unknown Item 9,2,2024-01-01 22:13:00
Margherita Pizza,1,2024-01-02 03:13:00
Hummus Plate,1,2024-01-02 03:54:00
Soup of the Day,1,2024-01-01 22:31:00
Unknown Item 4,2,2024-01-01 22:58:00
Old Menu Item,2,2024-01-02 04:05:00
Soup of the Day,3,2024-01-02 02:53:00
Soup of the Day,4,2024-01-01 22:00:00
  Salmon  ,1,invalid_date
Unknown Item 13,1,2024-01-02 02:16:00
Hummus Plate,1,2024-01-01 21:28:00
Veggie Burger,1,2024-01-02 01:27:00
Garlic Mushrooms,3,2024-01-02 18:04:00
Coca Cola,2,2024-01-03 05:44:00
Coca Cola,1,2024-01-03 04:34:00
  Salmon  ,1,2024-01-02 19:23:00
Apple Juice,2,2024-01-03 02:09:00
Coca Cola,2,2024-01-02 23:02:00
Tea,1,2024-01-02 22:57:00
Sparkling Water,4,2024-01-03 04:55:00
French Fries,2,2024-01-02 19:22:00
Cheesecake,1,2024-01-02 21:15:00
Chicken Burger,3,2024-01-03 02:22:00
Tea,1,2024-01-03 03:56:00
Soup of the Day,3,2024-01-03 04:39:00
Unknown Item 19,4,2024-01-03 03:59:00
Unknown Item 6,2,2024-01-03 04:55:00
  Salmon  ,2,2024-01-02 21:51:00
  Salmon  ,1,2024-01-03 03:56:00
Soup of the Day,3,invalid_date
Unknown Item 3,2,2024-01-03 03:21:00
Soup of the Day,2,2024-01-03 03:26:00
  Salmon  ,3,2024-01-03 03:55:00
Hummus Plate,4,2024-01-03 03:15:00
Chicken Burger,3,2024-01-02 22:50:00
Mashed Potatoes,1,2024-01-03 03:24:00
Onion Rings,4,invalid_date
Veggie Burger,2,2024-01-02 23:12:00
Unknown Item 11,3,2024-01-03 03:29:00
  Salmon  ,2,2024-01-02 22:52:00
Chocolate Cake,1,2024-01-03 03:14:00
Margherita Pizza,1,2024-01-02 21:42:00
Cheesecake,2,invalid_date
Soup of the Day,2,2024-01-02 22:04:00
Unknown Item 15,1,invalid_date
Apple Juice,2,2024-01-02 22:32:00
  Salmon  ,1,2024-01-02 23:53:00
Chicken Burger,3,2024-01-03 01:01:00
Chocolate Cake,1,2024-01-02 21:16:00
French Fries,1,2024-01-02 21:16:00
Coca Cola,1,invalid_date
Margherita Pizza,1,2024-01-02 23:46:00
Unknown Item 3,1,2024-01-03 03:27:00
  Salmon  ,1,2024-01-03 02:32:00
Mashed Potatoes,1,2024-01-02 21:57:00
Soup of the Day,3,2024-01-03 02:16:00
Soup of the Day,3,2024-01-02 19:27:00
  Salmon  ,1,2024-01-02 18:59:00
Veggie Burger,4,2024-01-03 03:43:00
Apple Juice,1,2024-01-03 03:47:00
Mashed Potatoes,2,2024-01-03 03:12:00
Unknown Item 19,2,2024-01-02 22:04:00
Veggie Burger,1,2024-01-03 05:58:00
  Salmon  ,1,2024-01-02 22:20:00
  Salmon  ,1,2024-01-03 02:07:00
Soup of the Day,1,2024-01-03 03:19:00
Caesar Salad,2,2024-01-03 00:42:00
Veggie Burger,1,2024-01-02 23:25:00
Hummus Plate,1,2024-01-03 03:35:00
Margherita Pizza,1,2024-01-02 21:26:00
  Salmon  ,1,invalid_date
Unknown Item 14,2,2024-01-03 03:57:00
  Salmon  ,1,2024-01-02 21:36:00
Coca Cola,3,2024-01-02 22:35:00
Old Menu Item,1,2024-01-03 04:19:00
Unknown Item 14,1,2024-01-02 22:27:00
Margherita Pizza,2,2024-01-03 03:38:00
French Fries,1,2024-01-03 02:29:00
Chicken Burger,2,2024-01-02 23:43:00
Margherita Pizza,2,2024-01-02 21:30:00
Veggie Burger,-1,2024-01-03 03:50:00
Unknown Item 7,1,2024-01-03 03:42:00
Coca Cola,1,2024-01-02 20:32:00
Caesar Salad,1,2024-01-03 02:39:00
Unknown Item 12,1,2024-01-02 22:52:00
  Salmon  ,1,2024-01-03 05:15:00
Veggie Burger,1,2024-01-03 02:14:00
Unknown Item 12,2,2024-01-03 03:09:00
Margherita Pizza,2,2024-01-02 19:15:00
Apple Pie,2,2024-01-03 06:39:00
Caesar Salad,1,2024-01-03 04:04:00
Soup of the Day,1,2024-01-02 23:56:00
Tiramisu,3,2024-01-03 02:12:00
Margherita Pizza,2,2024-01-03 03:24:00
Caesar Salad,3,2024-01-03 00:15:00
  Salmon  ,1,2024-01-02 21:44:00
Soup of the Day,2,2024-01-02 18:48:00
Apple Juice,2,invalid_date
Unknown Item 2,1,2024-01-02 21:27:00
Cheesecake,1,invalid_date
  Salmon  ,2,2024-01-03 05:33:00
French Fries,1,2024-01-02 23:35:00
Veggie Burger,1,2024-01-02 22:54:00
Unknown Item 1,2,2024-01-02 21:08:00
Soup of the Day,3,invalid_date
Coca Cola,1,2024-01-03 01:35:00
Coca Cola,-1,invalid_date
Margherita Pizza,1,2024-01-03 04:39:00
Soup of the Day,2,2024-01-03 03:57:00
Veggie Burger,1,2024-01-03 00:53:00
  Salmon  ,4,2024-01-03 04:28:00
Veggie Burger,1,2024-01-03 04:47:00
Coca Cola,1,2024-01-03 04:28:00
Veggie Burger,2,2024-01-02 22:15:00
Soup of the Day,3,2024-01-03 04:17:00
  Salmon  ,1,invalid_date
Coca Cola,1,2024-01-03 00:15:00
Margherita Pizza,4,2024-01-02 22:04:00
Unknown Item 15,1,2024-01-03 03:15:00
Garlic Mushrooms,3,2024-01-02 22:20:00
Caesar Salad,1,2024-01-03 04:05:00
Unknown Item 7,2,2024-01-02 21:14:00
Soup of the Day,2,2024-01-02 22:09:00
Onion Rings,1,2024-01-03 03:04:00
Soup of the Day,3,invalid_date
  Salmon  ,1,invalid_date
  Salmon  ,1,invalid_date
Mashed Potatoes,2,2024-01-02 23:57:00
Margherita Pizza,1,2024-01-03 03:44:00
Unknown Item 19,2,2024-01-02 18:56:00
Caesar Salad,1,2024-01-03 03:24:00
  Salmon  ,1,2024-01-03 00:22:00
Garlic Mushrooms,1,2024-01-02 22:24:00
Unknown Item 19,1,2024-01-03 04:53:00
Tea,1,2024-01-02 23:47:00
  Salmon  ,2,2024-01-03 03:51:00
Margherita Pizza,3,2024-01-03 02:14:00
Old Menu Item,3,2024-01-03 00:17:00
Hummus Plate,1,2024-01-02 23:01:00
Tea,1,2024-01-02 22:42:00
Chocolate Cake,1,2024-01-03 03:25:00
  Salmon  ,1,2024-01-03 03:53:00
Chocolate Cake,2,2024-01-02 23:08:00
  Salmon  ,1,2024-01-03 06:34:00
Onion Rings,1,invalid_date
Soup of the Day,3,2024-01-03 02:42:00
  Salmon  ,1,2024-01-02 19:41:00
Hummus Plate,1,2024-01-02 23:55:00
Caesar Salad,1,2024-01-02 23:03:00
Veggie Burger,1,2024-01-02 22:20:00
Caesar Salad,3,2024-01-02 21:20:00
Caesar Salad,1,2024-01-02 22:56:00
Veggie Burger,1,2024-01-02 22:48:00
Soup of the Day,1,2024-01-03 05:26:00
Hummus Plate,1,2024-01-02 22:05:00
Soup of the Day,1,2024-01-02 23:47:00
Mashed Potatoes,-3,2024-01-03 01:22:00
Unknown Item 15,3,2024-01-02 21:04:00
Veggie Burger,2,2024-01-03 03:41:00
  Salmon  ,1,2024-01-02 19:01:00
Chocolate Cake,3,2024-01-03 05:12:00
Soup of the Day,2,2024-01-04 02:15:00
Soup of the Day,1,invalid_date
Apple Juice,2,2024-01-03 21:13:00
Margherita Pizza,1,2024-01-03 23:16:00
Soup of the Day,1,2024-01-04 03:10:00
Unknown Item 16,2,2024-01-04 02:47:00
  Salmon  ,1,2024-01-04 03:49:00
  Salmon  ,2,2024-01-04 03:19:00
Garlic Mushrooms,1,2024-01-03 21:01:00
Tiramisu,3,2024-01-04 04:36:00
Seasonal Special,4,2024-01-04 03:24:00
Unknown Item 6,3,2024-01-03 23:45:00
Coca Cola,1,2024-01-03 21:37:00
Chocolate Cake,1,2024-01-04 03:40:00
Sparkling Water,1,invalid_date
French Fries,1,2024-01-04 03:54:00
  Salmon  ,1,2024-01-04 03:51:00
Caesar Salad,2,2024-01-03 21:36:00
Sparkling Water,2,2024-01-04 03:22:00
Coca Cola,4,2024-01-04 01:42:00
Tiramisu,1,2024-01-03 22:32:00
Coca Cola,1,2024-01-04 02:00:00
Chocolate Cake,1,2024-01-04 04:52:00
Margherita Pizza,3,2024-01-04 00:27:00
Veggie Burger,2,2024-01-04 05:40:00
Unknown Item 3,3,2024-01-04 04:29:00
Chicken Burger,3,2024-01-04 03:27:00
Soup of the Day,2,2024-01-03 21:33:00
Tiramisu,1,2024-01-04 05:17:00
Veggie Burger,1,invalid_date
Chocolate Cake,2,2024-01-04 01:30:00
Chicken Burger,1,2024-01-03 23:52:00
French Fries,1,invalid_date
Unknown Item 9,3,2024-01-03 22:15:00
Margherita Pizza,4,2024-01-04 04:05:00
  Salmon  ,2,2024-01-03 22:28:00
Garlic Mushrooms,2,2024-01-03 21:29:00
Veggie Burger,2,2024-01-04 02:42:00
Tea,1,2024-01-03 22:01:00
Soup of the Day,1,2024-01-04 00:20:00
Unknown Item 5,2,invalid_date
Soup of the Day,2,2024-01-03 22:16:00
Unknown Item 13,1,2024-01-03 22:56:00
  Salmon  ,3,invalid_date
  Salmon  ,1,2024-01-03 22:00:00
Cheesecake,1,2024-01-04 00:12:00
Onion Rings,2,2024-01-03 20:46:00
Caesar Salad,-1,2024-01-03 23:35:00
Unknown Item 3,1,2024-01-04 03:44:00
Cheesecake,1,2024-01-04 00:45:00
Coca Cola,2,2024-01-04 00:50:00
  Salmon  ,1,2024-01-03 18:18:00
Margherita Pizza,2,2024-01-03 21:44:00
French Fries,2,2024-01-03 21:42:00
Mashed Potatoes,1,2024-01-04 02:30:00
Margherita Pizza,4,2024-01-04 01:22:00
Chicken Burger,1,2024-01-03 23:47:00
  Salmon  ,4,2024-01-04 01:22:00
  Salmon  ,2,2024-01-04 03:17:00
Chicken Burger,4,2024-01-03 22:14:00
Veggie Burger,1,2024-01-03 21:12:00
Unknown Item 16,1,2024-01-03 22:47:00
Soup of the Day,1,2024-01-04 01:48:00
Soup of the Day,1,2024-01-04 03:12:00
Unknown Item 3,2,invalid_date
Chicken Burger,1,invalid_date
Unknown Item 4,2,2024-01-04 06:33:00
French Fries,1,2024-01-04 02:06:00
  Salmon  ,1,2024-01-04 04:18:00
  Salmon  ,2,invalid_date
Caesar Salad,1,2024-01-03 22:45:00
Caesar Salad,2,2024-01-04 01:17:00
Apple Pie,2,2024-01-03 19:03:00
Unknown Item 10,3,2024-01-04 01:44:00
Margherita Pizza,1,2024-01-04 05:40:00
Tea,2,2024-01-04 04:31:00
Sparkling Water,4,2024-01-03 21:00:00
Caesar Salad,2,2024-01-04 02:30:00
Tea,1,2024-01-04 00:21:00
Soup of the Day,2,2024-01-03 21:03:00
Unknown Item 18,2,2024-01-03 22:55:00
Soup of the Day,2,2024-01-04 00:52:00
Mashed Potatoes,1,2024-01-03 20:31:00
  Salmon  ,1,2024-01-03 20:40:00
Garlic Mushrooms,3,2024-01-04 03:09:00
Unknown Item 14,1,2024-01-03 21:36:00
Garlic Mushrooms,2,2024-01-04 05:05:00
Unknown Item 6,1,2024-01-04 07:07:00
Coca Cola,-2,2024-01-04 02:26:00
Coca Cola,1,2024-01-04 02:50:00
  Salmon  ,1,2024-01-04 02:49:00
Seasonal Special,4,2024-01-04 00:28:00
  Salmon  ,3,2024-01-04 04:19:00
Apple Juice,2,invalid_date
Chicken Wings,1,2024-01-03 22:39:00
  Salmon  ,2,2024-01-03 20:47:00
Margherita Pizza,2,2024-01-03 21:48:00
Cheesecakes,2,2024-01-03 21:13:00
Coca Cola,1,2024-01-03 22:05:00
Apple Juice,2,2024-01-03 21:11:00
Margherita Pizza,2,2024-01-04 01:10:00
Apple Juice,4,invalid_date
Cheesecake,1,2024-01-04 03:30:00
Chicken Burger,2,invalid_date
Daily Special,2,2024-01-03 22:18:00
  Salmon  ,1,2024-01-04 03:29:00
Chicken Burgers,1,2024-01-03 20:14:00
Garlic Mushrooms,1,2024-01-04 04:50:00
Unknown Item 3,1,2024-01-04 03:37:00
Veggie Burger,1,2024-01-04 02:59:00
  Salmon  ,2,2024-01-03 21:07:00
Margherita Pizza,2,2024-01-04 01:41:00
  Salmon  ,2,invalid_date
  Salmon  ,3,2024-01-04 04:04:00
Mashed Potatoes,1,2024-01-03 20:50:00
Mashed Potatoes,1,2024-01-05 02:52:00
Coca Cola,2,2024-01-05 02:18:00
Mashed Potatoes,1,2024-01-04 23:29:00
French Fries,1,2024-01-05 03:44:00
Margherita Pizza,1,2024-01-04 23:17:00
  Salmon  ,1,2024-01-05 00:31:00
  Salmon  ,3,2024-01-04 23:38:00
Caesar Salad,1,2024-01-04 19:27:00
  Salmon  ,1,2024-01-05 03:38:00
  Salmon  ,1,2024-01-04 22:05:00
Sparkling Water,2,2024-01-04 21:43:00
Soup of the Day,1,2024-01-05 04:36:00
  Salmon  ,2,2024-01-05 02:01:00
Veggie Burger,1,2024-01-05 07:43:00
Soup of the Day,1,2024-01-05 03:36:00
Tea,2,2024-01-04 19:48:00
Tea,1,2024-01-04 21:33:00
Margherita Pizza,1,2024-01-05 02:58:00
Garlic Mushrooms,1,2024-01-04 22:37:00
Unknown Item 13,3,2024-01-04 23:52:00
Hummus Plate,1,2024-01-05 00:05:00
Margherita Pizza,2,2024-01-04 23:26:00
Veggie Burger,1,2024-01-04 22:42:00
Soup of the Day,-1,2024-01-04 21:10:00
Daily Special,1,2024-01-04 22:44:00
Chicken Burger,3,2024-01-05 00:42:00
Mashed Potatoes,1,2024-01-05 05:52:00
Tea,1,2024-01-05 03:02:00
Soup of the Day,1,2024-01-04 23:20:00
Soup of the Day,1,2024-01-04 22:07:00
  Salmon  ,1,2024-01-05 05:25:00
Caesar Salad,2,2024-01-05 04:52:00
Veggie Burger,1,2024-01-05 06:42:00
Hummus Plate,1,2024-01-05 04:29:00
Chocolate Cake,2,2024-01-04 23:12:00
Unknown Item 16,1,2024-01-05 00:39:00
Margherita Pizza,1,invalid_date
Margherita Pizza,1,2024-01-04 23:03:00
Chicken Burger,2,2024-01-04 21:35:00
Margherita Pizza,1,2024-01-04 21:18:00
Unknown Item 0,1,2024-01-04 23:44:00
Soup of the Day,1,2024-01-05 00:01:00
Unknown Item 14,2,2024-01-05 06:38:00
  Salmon  ,1,2024-01-05 03:45:00
Unknown Item 15,2,2024-01-04 21:35:00
Veggie Burger,3,2024-01-04 18:26:00
Caesar Salad,2,2024-01-04 20:53:00
Unknown Item 18,1,2024-01-05 04:29:00
Tea,1,2024-01-05 05:41:00
  Salmon  ,1,2024-01-05 04:31:00
Cheesecake,1,2024-01-05 04:18:00
Tea,1,invalid_date
Caesar Salad,2,2024-01-04 23:30:00
Apple Juice,1,invalid_date
  Salmon  ,1,2024-01-04 23:09:00
Hummus Plate,2,2024-01-04 22:58:00
  Salmon  ,2,2024-01-05 02:47:00
Unknown Item 2,1,2024-01-05 04:55:00
  Salmon  ,3,2024-01-04 20:49:00
Soup of the Day,1,2024-01-05 03:26:00
Unknown Item 4,2,2024-01-04 22:50:00
Mashed Potatoes,2,2024-01-05 00:52:00
Unknown Item 12,2,2024-01-04 18:46:00
Coca Cola,2,2024-01-04 22:37:00
  Salmon  ,1,2024-01-05 02:42:00
Soup of the Day,1,2024-01-05 00:09:00
Soup of the Day,2,2024-01-04 23:30:00
Unknown Item 16,1,2024-01-04 22:35:00
Soup of the Day,3,2024-01-05 03:24:00
Seasonal Special,1,2024-01-04 23:20:00
Garlic Mushrooms,1,2024-01-05 04:44:00
  Salmon  ,1,2024-01-04 21:24:00
Mashed Potatoes,1,2024-01-04 21:49:00
Tea,2,2024-01-04 23:20:00
Cheesecake,2,invalid_date
Onion Rings,2,2024-01-05 04:24:00
Unknown Item 7,3,2024-01-04 22:42:00
Chicken Burger,3,invalid_date
Margherita Pizza,3,2024-01-05 06:31:00
Margherita Pizza,1,2024-01-05 05:08:00
Margherita Pizza,2,invalid_date
Unknown Item 6,1,2024-01-04 22:06:00
Unknown Item 4,1,2024-01-05 04:28:00
Apple Juice,2,2024-01-04 21:58:00
Mashed Potatoes,1,2024-01-04 23:46:00
Soup of the Day,1,invalid_date
Margherita Pizza,1,2024-01-05 02:09:00
Soup of the Day,1,invalid_date
Unknown Item 5,3,2024-01-05 05:21:00
  Salmon  ,1,2024-01-05 02:25:00
Coca Cola,1,2024-01-05 02:54:00
Veggie Burger,1,2024-01-04 22:43:00
Sparkling Water,1,2024-01-05 04:24:00
Soup of the Day,-3,invalid_date
Caesar Salad,1,2024-01-05 03:48:00
Sparkling Water,2,2024-01-05 00:34:00
Cheesecake,2,invalid_date
  Salmon  ,3,2024-01-04 21:43:00
  Salmon  ,2,2024-01-05 04:14:00
Sparkling Water,3,2024-01-05 03:27:00
Chocolate Cake,1,2024-01-05 06:48:00
Sparkling Water,1,2024-01-05 02:55:00
Apple Juice,1,2024-01-04 21:10:00
Tiramisu,3,invalid_date
Soup of the Day,1,2024-01-04 19:20:00
Unknown Item 9,1,2024-01-05 03:18:00
Chocolate Cake,1,2024-01-04 22:27:00
  Salmon  ,1,invalid_date
Caesar Salad,1,2024-01-04 23:43:00
Onion Rings,4,2024-01-05 03:10:00
  Salmon  ,1,2024-01-04 21:39:00
  Salmon  ,2,2024-01-05 04:39:00
Apple Juice,2,2024-01-05 03:31:00
Veggie Burger,1,2024-01-05 04:09:00
Unknown Item 16,1,2024-01-04 21:40:00
Unknown Item 1,1,2024-01-04 22:16:00
Sparkling Water,1,2024-01-05 02:57:00
  Salmon  ,2,2024-01-05 03:57:00
Coca Cola,1,2024-01-04 22:34:00
Sparkling Water,1,2024-01-04 21:28:00
Soup of the Day,2,2024-01-05 05:37:00
Soup of the Day,3,2024-01-04 22:27:00
Unknown Item 13,3,2024-01-05 03:29:00
Unknown Item 16,3,2024-01-05 04:12:00
Margherita Pizza,2,2024-01-05 07:54:00
Cheesecake,1,2024-01-05 00:15:00
Veggie Burger,2,2024-01-04 22:22:00
Unknown Item 18,1,2024-01-05 02:44:00
Unknown Item 14,2,2024-01-04 22:53:00
Cheesecake,2,invalid_date
  Salmon  ,1,2024-01-04 18:55:00
Garlic Mushrooms,2,2024-01-05 03:47:00
Hummus Plate,3,2024-01-05 06:58:00
Old Menu Item,1,2024-01-06 03:53:00
  Salmon  ,3,2024-01-06 04:18:00
Apple Juice,1,2024-01-06 03:14:00
  Salmon  ,2,2024-01-06 02:22:00
Soup of the Day,1,2024-01-05 21:12:00
Apple Pie,2,2024-01-06 02:43:00
Unknown Item 3,3,2024-01-06 03:49:00
Unknown Item 14,3,2024-01-06 02:53:00
Veggie Burger,2,2024-01-05 21:06:00
Veggie Burger,1,2024-01-06 04:41:00
Soup of the Day,3,2024-01-05 19:50:00
  Salmon  ,1,2024-01-05 23:37:00
  Salmon  ,3,2024-01-05 22:08:00
Chicken Burger,1,2024-01-05 20:18:00
Apple Juice,1,2024-01-05 22:26:00
Caesar Salad,2,2024-01-05 21:08:00
Veggie Burger,1,2024-01-06 03:56:00
Veggie Burger,1,2024-01-06 06:33:00
Caesar Salad,1,2024-01-06 00:17:00
  Salmon  ,1,2024-01-06 04:16:00
Garlic Mushrooms,1,2024-01-06 04:30:00
  Salmon  ,1,invalid_date
Hummus Plate,1,2024-01-06 03:21:00
Chicken Burger,1,2024-01-06 03:29:00
Unknown Item 0,2,2024-01-06 05:09:00
Coca Cola,1,2024-01-06 03:14:00
Caesar Salad,3,2024-01-06 04:46:00
Apple Pie,3,2024-01-06 03:25:00
Soup of the Day,1,2024-01-06 05:51:00
Unknown Item 1,2,2024-01-06 02:05:00
Tea,3,2024-01-06 03:00:00
Margherita Pizza,4,2024-01-05 22:07:00
Mashed Potatoes,2,invalid_date
  Salmon  ,1,2024-01-06 03:16:00
Onion Rings,2,2024-01-06 02:52:00
Soup of the Day,2,2024-01-06 02:23:00
Chicken Wings,2,2024-01-05 21:14:00
Caesar Salad,1,2024-01-05 23:39:00
Garlic Mushrooms,3,invalid_date
Unknown Item 3,4,2024-01-05 22:39:00
Mashed Potatoes,1,2024-01-05 21:04:00
Soup of the Day,1,2024-01-06 02:29:00
Unknown Item 8,1,2024-01-06 04:19:00
Chicken Burger,3,2024-01-06 02:07:00
  Salmon  ,2,2024-01-05 21:02:00
Caesar Salad,2,2024-01-05 22:31:00
Unknown Item 18,1,2024-01-05 21:15:00
Hummus Plate,2,2024-01-06 04:08:00
  Salmon  ,1,2024-01-05 22:23:00
Coca Cola,1,2024-01-06 02:47:00
Caesar Salad,2,2024-01-06 03:34:00
  Salmon  ,4,2024-01-05 23:47:00
Daily Special,3,2024-01-06 03:56:00
Veggie Burger,3,2024-01-05 23:06:00
Unknown Item 4,1,2024-01-06 04:39:00
Unknown Item 2,1,2024-01-05 23:17:00
Chocolate Cake,2,2024-01-05 19:23:00
Unknown Item 12,3,2024-01-05 21:28:00
Cheesecake,1,2024-01-06 05:54:00
Mashed Potatoes,1,2024-01-05 22:43:00
Unknown Item 9,1,2024-01-05 22:57:00
Cheesecake,2,2024-01-06 06:22:00
  Salmon  ,1,2024-01-05 20:17:00
Unknown Item 8,1,2024-01-05 21:07:00
Veggie Burger,1,2024-01-06 05:52:00
Unknown Item 16,1,2024-01-05 23:42:00
Apple Pie,3,2024-01-05 21:40:00
Margherita Pizza,1,2024-01-06 02:01:00
Unknown Item 1,2,2024-01-05 20:21:00
Veggie Burger,2,2024-01-05 21:08:00
Tea,3,2024-01-06 03:13:00
Soup of the Day,1,2024-01-05 20:48:00
Margherita Pizza,4,2024-01-06 01:37:00
Chicken Burger,2,2024-01-05 21:55:00
